Event Receive Time,Reporting IP,Event Type,Event Name,Raw Event Log
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.25.216.251,52.41.182.30,202.28.45.139,52.41.182.30,Allow_All-Users_Internet_All-Apps,,,ssl,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,36425093,1,54163,443,8776,443,0x40047a,tcp,allow,25387,17575,7812,49,2024/03/12 10:51:51,126,All-URL,,7207711761912615846,0x0,172.16.0.0-172.31.255.255,United States,,27,22,tcp-fin,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.437+07:00,,,encrypted-tunnel,networking,browser-based,4,""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"",,ssl,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.27.11.151,172.253.118.132,202.28.45.135,172.253.118.132,Allow_All-Users_Internet_All-Apps,,,quic,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,37651379,1,49250,443,35131,443,0x400053,udp,allow,19399,5771,13628,37,2024/03/12 10:51:50,127,any,,7207711761912615561,0x0,172.16.0.0-172.31.255.255,United States,,19,18,aged-out,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.296+07:00,,,infrastructure,networking,browser-based,1,tunnel-other-application,,quic,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.25.198.121,69.195.186.128,202.28.45.137,69.195.186.128,Allow_All-Users_Internet_All-Apps,,,twitter-base,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,35797341,1,54677,443,33449,443,0x40047a,tcp,allow,7815,2038,5777,30,2024/03/12 10:49:34,263,All-URL,,7207711761912615548,0x0,172.16.0.0-172.31.255.255,United States,,16,14,tcp-rst-from-client,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.296+07:00,,,social-networking,collaboration,browser-based,3,""used-by-malware,able-to-transfer-file,pervasive-use"",twitter,twitter-base,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,10.1.21.24,74.125.24.95,202.28.45.136,74.125.24.95,Allow_All-Users_Internet_All-Apps,,,google-base,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,34958742,1,50701,443,3926,443,0x40047a,tcp,allow,3988,2453,1535,18,2024/03/12 10:51:38,139,All-URL,,7207711761912615540,0x0,10.0.0.0-10.255.255.255,United States,,9,9,tcp-fin,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.296+07:00,,,internet-utility,general-internet,browser-based,4,""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"",,google-base,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.25.219.37,13.107.246.59,202.28.45.133,13.107.246.59,Allow_All-Users_Internet_All-Apps,,,ssl,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,34181615,1,50024,443,10891,443,0x40041c,tcp,allow,23750,3388,20362,40,2024/03/12 10:53:35,7,All-URL,,7207711761912615499,0x0,172.16.0.0-172.31.255.255,United States,,16,24,tcp-fin,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.230+07:00,,,encrypted-tunnel,networking,browser-based,4,""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"",,ssl,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.25.160.107,163.70.149.21,202.28.45.139,163.70.149.21,Allow_All-Users_Internet_All-Apps,,,whatsapp-base,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,37328510,1,57690,5222,20098,5222,0x40001c,tcp,allow,4343,2978,1365,33,2024/03/12 10:53:26,16,any,,7207711761912615443,0x0,172.16.0.0-172.31.255.255,Thailand,,17,16,tcp-fin,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.230+07:00,,,instant-messaging,collaboration,client-server,1,,whatsapp,whatsapp-base,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,10.1.19.73,74.125.200.94,202.28.45.137,74.125.200.94,Allow_All-Users_Internet_All-Apps,,,quic,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,34699653,1,60076,443,14838,443,0x400019,udp,allow,9873,3919,5954,19,2024/03/12 10:51:57,0,any,,7207711761912615413,0x0,10.0.0.0-10.255.255.255,United States,,8,11,aged-out,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.230+07:00,,,infrastructure,networking,browser-based,1,tunnel-other-application,,quic,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-deny,Traffic denied by policy,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,drop,2561,2024/03/12 10:53:59,159.223.46.36,202.28.46.200,0.0.0.0,0.0.0.0,Deny-Bad-Source,,,not-applicable,vsys1,SG-Outside,WLAN-Inside,ethernet1/22.240,,traffic-log,2024/03/12 10:53:59,0,1,53163,34205,0,0,0x0,tcp,drop,60,60,0,1,2024/03/12 10:53:58,0,any,,7207711761912615976,0x0,Singapore,Thailand,,1,0,policy-deny,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,4a37facc-0a40-4325-8e76-0a831d2c4bbb,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI Bad Guys,,,,,,,2024-03-12T10:53:59.456+07:00,,,unknown,unknown,unknown,1,,,not-applicable,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.25.217.13,122.155.236.48,202.28.45.141,122.155.236.48,Allow_All-Users_Internet_All-Apps,,,tiktok-base,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,35763535,1,33664,443,57189,443,0x40047a,tcp,allow,1137987,39659,1098328,1385,2024/03/12 10:50:31,206,All-URL,,7207711761912615960,0x0,172.16.0.0-172.31.255.255,Thailand,,529,856,tcp-rst-from-client,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.456+07:00,,,photo-video,media,client-server,2,""able-to-transfer-file,has-known-vulnerability"",tiktok,tiktok-base,no,no,0"
12/3/2024 10:53,10.1.44.50,PAN-OS-TRAFFIC-end-allow,Permitted traffic flow ended,"<14>Mar 12 10:53:59 MFU-FW.mfu.ac.th 1,2024/03/12 10:53:59,013101011043,TRAFFIC,end,2561,2024/03/12 10:53:59,172.25.32.65,150.109.27.51,202.28.45.129,150.109.27.51,Allow_All-Users_Internet_All-Apps,,,ssl,vsys1,WLAN-Inside,SG-Outside,ethernet1/22.241,ethernet1/22.240,traffic-log,2024/03/12 10:53:59,3860468,1,55557,443,57331,443,0x40047a,tcp,allow,8304,2329,5975,33,2024/03/12 10:51:34,143,All-URL,,7207711761912615944,0x0,172.16.0.0-172.31.255.255,Singapore,,16,17,tcp-fin,0,0,0,0,WLAN,MFU-FW,from-policy,,,0,,0,,N/A,0,0,0,0,18dd2c91-ac6c-4985-85c8-cb9e91676045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12T10:53:59.456+07:00,,,encrypted-tunnel,networking,browser-based,4,""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"",,ssl,no,no,0"
